uid;Shape_Leng;from;to;y_start;x_start;y_end;x_end
2042;115.8279901;'36.2589679561888,59.6414139322';'36.2590702803653,59.6426958105978';36.25896796;59.64141393;36.25907028;59.64269581
2043;606.8169967;'36.2647075664385,59.6528893621987';'36.2692612175003,59.6566250879399';36.26470757;59.65288936;36.26926122;59.65662509
2044;241.4371115;'36.2629511515368,59.6513075861762';'36.2647075664385,59.6528893621987';36.26295115;59.65130759;36.26470757;59.65288936
2045;612.5022179;'36.2692612175003,59.6566250879399';'36.2745411021215,59.6573385436827';36.26926122;59.65662509;36.2745411;59.65733854
2046;408.0362628;'36.2769629310806,59.6561584022289';'36.2805608418194,59.6560636330422';36.27696293;59.6561584;36.28056084;59.65606363
2047;287.9502258;'36.2934770715492,59.6608333302921';'36.296001696219,59.6615704784487';36.29347707;59.66083333;36.2960017;59.66157048
2048;433.5638166;'36.2857590782792,59.6582899712084';'36.2895006337929,59.6596693415422';36.28575908;59.65828997;36.28950063;59.65966934
2049;202.2672971;'36.2840369433145,59.6575541503077';'36.2857590782792,59.6582899712084';36.28403694;59.65755415;36.28575908;59.65828997
2050;408.4296808;'36.2805608418194,59.6560636330422';'36.2840369433145,59.6575541503077';36.28056084;59.65606363;36.28403694;59.65755415
2051;346.7658777;'36.296001696219,59.6615704784487';'36.2988119806172,59.6631936345634';36.2960017;59.66157048;36.29881198;59.66319363
2052;225.6013202;'36.2995411677019,59.663867961748';'36.3012343739094,59.6652566137756';36.29954117;59.66386796;36.30123437;59.66525661
2053;455.3967565;'36.3012343739094,59.6652566137756';'36.3050019386234,59.6646074158599';36.30122872;59.66526541;36.30502294;59.66461894
2054;160.4265871;'36.321941108805,59.6347090914177';'36.3226828016459,59.6331761900703';36.32194111;59.63470909;36.3226828;59.63317619
2055;541.0534031;'36.3050019386234,59.6646074158599';'36.3079272107653,59.6597907779266';36.30500194;59.66460742;36.30792721;59.65979078
2056;375.9396637;'36.3163442818004,59.6454810794836';'36.3181628149555,59.6419507343301';36.31634428;59.64548108;36.31816281;59.64195073
2057;118.0179254;'36.3138911000934,59.6498007867037';'36.3145178113903,59.6487395117919';36.3138911;59.64980079;36.31451781;59.64873951
2058;341.0904255;'36.3120670720638,59.6528564827276';'36.3138911000034,59.6498007867006';36.31206707;59.65285648;36.3138911;59.64980079
2059;274.3465504;'36.3093653029128,59.6573821205667';'36.3108325015219,59.6549245410192';36.3093653;59.65738212;36.3108325;59.65492454
2060;194.7721944;'36.3079272107656,59.6597907779155';'36.3089688856209,59.6580460957159';36.30792721;59.65979078;36.30896889;59.6580461
2061;248.0142999;'36.3207929985613,59.6370777921415';'36.321941108805,59.6347090914177';36.320793;59.63707779;36.32194111;59.63470909
2062;368.8071272;'36.3189570797328,59.6404995797718';'36.3207929985613,59.6370777921415';36.31895708;59.64049958;36.320793;59.63707779
2063;157.3655004;'36.3181628149555,59.6419507343301';'36.3189570797328,59.6404995797718';36.31816281;59.64195073;36.31895708;59.64049958
2064;251.565868;'36.3322450634626,59.6145339278573';'36.3334393075662,59.6121532023818';36.33224506;59.61453393;36.33343931;59.6121532
2065;251.5655368;'36.3310507756809,59.6169145752331';'36.3322450635527,59.6145339278603';36.33105078;59.61691458;36.33224506;59.61453393
2066;133.9597783;'36.3304147940296,59.6181822503442';'36.3310507756809,59.6169145752331';36.33041479;59.61818225;36.33105078;59.61691458
2067;1039.864566;'36.3250298464844,59.6291985020756';'36.3298633936752,59.6192812944767';36.32502985;59.6291985;36.32986339;59.61928129
2068;119.8858154;'36.346999750316,59.5836141037192';'36.3475728168684,59.5824823493721';36.34699975;59.5836141;36.34757282;59.58248235
2069;132.8499847;'36.346364701663,59.5848682232201';'36.346999750316,59.5836141037192';36.3463647;59.58486822;36.34699975;59.5836141
2070;1175.170372;'36.3410064600397,59.596149899204';'36.346364701663,59.5848682232201';36.34100646;59.5961499;36.3463647;59.58486822
2071;401.9157396;'36.3392610840604,59.6000713633931';'36.3410064600399,59.5961498991929';36.33926108;59.60007136;36.34100646;59.5961499
2072;289.0030128;'36.2745411021215,59.6573385436827';'36.2769629310806,59.6561584022289';36.2745411;59.65733854;36.27696293;59.6561584
2073;232.3768414;'36.3747900475676,59.5050109485081';'36.3763530854273,59.5067301036622';36.37479005;59.50501095;36.37635309;59.5067301
2074;234.3302441;'36.3460435037039,59.4997420757159';'36.3460695140482,59.4971413654815';36.3460435;59.49974208;36.34606951;59.49714137
2075;255.4907194;'36.3453611542774,59.5081167474038';'36.3453731847496,59.5052713289654';36.34536115;59.50811675;36.34537318;59.50527133
2076;385.046461;'36.3453429301017,59.5124050283819';'36.3453611542774,59.5081167474038';36.34534293;59.51240503;36.34536115;59.50811675
2077;1399.714534;'36.345288805058,59.5279936707805';'36.3453429301017,59.5124050283819';36.34528881;59.52799367;36.34534293;59.51240503
2078;160.8382674;'36.345288144231,59.529784940693';'36.345288805058,59.5279936707805';36.34528814;59.52978494;36.34528881;59.52799367
